Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
334,254,57,56.0
317,198,55,54.0
296,194,56,55.0
338,262,54,53.0
235,141,56,55.0
226,148,58,57.0
304,202,53,52.0
294,182,56,55.0
255,160,56,55.0
229,162,52,51.0
252,170,52,51.0
229,146,56,55.0
200,156,53,52.0
247,150,55,54.0
297,218,57,56.0
227,129,54,52.99999999999999
499,335,64,63.0
217,148,53,52.0
361,240,65,64.0
431,269,58,57.0
524,368,70,69.0
345,251,60,59.0
271,184,56,55.0
253,167,62,61.0
298,155,62,61.0
421,289,57,55.99999999999999
381,186,59,58.0
388,296,54,53.0
209,166,52,51.0
289,174,53,52.0
301,218,52,51.0
230,167,58,57.0
213,141,53,52.0
360,150,57,56.0
355,248,57,56.0
257,178,56,55.0
226,157,54,53.0
323,187,53,52.0
270,181,61,60.0
262,207,57,56.0
206,141,54,53.0
375,232,57,56.0
385,181,53,52.0
273,168,53,52.0
318,256,56,55.0
342,204,63,62.0
187,145,55,54.0
257,150,55,54.0
348,282,53,51.99999999999999
218,158,57,56.0
261,169,54,53.0
316,166,55,54.0
367,188,64,62.99999999999999
424,277,58,57.0
299,228,59,58.0
366,230,60,59.0
310,201,63,62.0
284,213,58,57.0
245,188,68,67.0
342,157,60,59.0
334,187,62,61.0
173,121,53,52.0
317,176,65,64.0
353,200,56,55.0
348,248,52,51.0
245,179,57,56.0
176,116,56,54.99999999999999
283,168,56,55.0
262,192,54,53.0
202,122,54,53.0
343,220,67,66.0
272,156,62,61.0
389,250,66,65.0
271,206,54,53.0
185,138,53,52.0
284,173,55,54.0
307,189,53,52.0
258,209,56,55.0
288,191,67,66.0
283,178,59,58.0
344,259,61,59.99999999999999
241,165,52,50.99999999999999
338,223,58,57.0
317,194,57,56.0
329,148,58,57.00000000000001
347,229,56,55.00000000000001
